"Ta","RH"
25.0155019660202,57.7410002429478
22.8069444034178,52.1416576931649
27.2033793367019,50.6822105818292
24.8891696712865,46.8492043263755
28.9051176444929,50.9205260789811
24.6861036282767,40.021975409699
24.0811594832475,47.6905150226423
23.9778074672293,43.2210089884959
24.6570591149335,49.5816782479607
26.0540401806594,47.7254869751928
25.6395398076049,59.219212065278
27.2704918395469,48.5420401816317
26.5420890063663,48.1405734257212
23.9911069864114,48.0365462685552
26.4142947871057,50.7436245435374
22.9604914174289,44.1341535381228
26.1429931995213,53.546706106004
25.9494200338758,50.61079304982
23.9849500060365,44.3070084130984
21.7723717524115,54.6560881404831
25.3200213191414,47.962885311967
21.4127363114726,41.9340061684326
23.8849956301886,49.7301609489903
25.1204711891622,52.786679178464
25.0282771931047,55.2024730281625
23.2203537494922,47.2531721038877
26.9028132683404,39.5213761242593
25.7847608705759,50.2158072378034
27.7888051183644,54.1801797825775
27.1647173950075,58.3816049485759
24.5218668862196,50.2629981360625
26.5261403457895,44.2518884454088
25.6283342431335,51.9404473726116
28.2603919740163,51.5703569095047
25.1448703698686,52.0731052822813
22.4987121371023,55.738994845688
25.8928017926591,50.2180015636618
24.9095162631845,56.981548822916
25.317172423725,41.940561059751
23.4043229696433,45.9782561424548
25.0501227561439,35.3201358536578
23.4036275896231,56.402114984538
26.6635201066919,52.2132053498125
27.1142097597159,48.7489247095617
27.2727938533344,52.9146747518919
25.510787912077,50.5462679321773
23.8308019817298,44.9477580778213
25.7457244316065,54.3743865556734
25.8624902813327,47.2257951323538
24.1175817373199,49.5340428928731
25.9400453379057,53.27870890066
27.6180429373144,46.4735930155229
24.6674778701962,49.2873664237523
26.5627271204941,52.2255739860301
26.3700891193016,52.3534172447706
24.9747832357651,57.1789333145323
24.1998349241205,55.5622083064457
23.3025831673044,47.2244571420026
27.0305840213183,55.4985405862401
26.8924483630721,48.2883856057812
25.694776676752,49.2063600286493
24.6211224970597,55.644380711639
24.9214849176896,56.7968756480434
26.5878153255135,54.6764974065792
25.5683476729488,42.2724399144176
26.1676931981058,56.3994759489318
27.5069429400369,41.8250351068439
26.5026313051878,48.2342079464383
25.2237067075401,45.7903177072735
27.1823358386718,52.4405575477024
25.8512662353721,51.9015287447874
25.2869753088639,49.9659402526684
21.6503553511113,52.5479070125323
24.994816271267,39.4615190539323
27.0018804709469,60.1910642567814
23.2376834415603,48.6151686134458
26.0556882544389,48.9369427297326
23.6288186634077,50.4110985630207
26.0793109824912,44.164590402165
25.7122135084147,38.8201400113786
27.5325252038527,45.8091162571871
28.5132971224599,53.9250272235253
26.7936406889392,41.1832937397116
26.5706807135914,50.6635462384045
30.9445325053136,52.5151460317568
25.2714616487991,46.38526859432
25.3848367511563,42.3826154757136
26.3403491465648,52.2979172777947
24.3803046798617,48.1865150436899
22.9940568223875,53.2689643775335
24.8871932193191,53.3276207862374
25.60054456436,55.487976773588
25.8928325624171,54.7205929066305
25.0328505014745,49.120308848023
20.2045650739653,51.8070320897463
26.6772418592986,46.6747568209535
24.2329107632081,46.753089442903
26.4869925857091,53.8264475348694
26.1826343131433,47.9605881776023
25.9310913059027,43.7231084627362
